Date,Open,High,Low,Close,Adj Close,Volume
2009-01-01,54.930000,56.930000,53.680000,53.889999,36.435062,27750600
2009-01-08,53.799999,54.070000,50.330002,51.099998,34.548748,42276600
2009-01-15,51.049999,52.090000,43.779999,50.439999,34.102520,34865000
2009-01-22,49.820000,52.279999,49.099998,52.040001,35.184288,36922000
2009-01-29,51.849998,52.400002,49.040001,51.490002,34.812416,30832400
2009-02-05,50.860001,53.639999,49.220001,50.610001,34.217457,41836800
2009-02-12,50.509998,53.459999,50.000000,51.529999,34.839478,41004800
2009-02-19,51.270000,52.549999,50.029999,50.720001,34.291824,39061000
2009-02-26,51.130001,51.360001,46.759998,47.599998,32.182392,50917600
2009-03-05,46.980000,47.639999,45.389999,47.419998,32.344296,48009600
2009-03-12,47.279999,49.910000,47.070000,49.470001,33.742573,39617600
2009-03-19,49.869999,52.790001,48.700001,52.470001,35.788811,45697500
2009-03-26,52.970001,53.200001,51.000000,52.220001,35.618305,36774200
2009-04-02,52.930000,53.529999,51.849998,52.279999,35.659210,28002200
2009-04-09,52.349998,56.950001,50.240002,52.040001,35.495525,27488000
2009-04-16,52.240002,52.470001,47.880001,47.980000,32.726269,67856000
2009-04-23,48.400002,51.220001,47.500000,50.450001,34.411003,59791900
2009-04-30,50.910000,51.000000,48.830002,49.720001,33.913078,50854400
2009-05-07,49.860001,50.060001,48.820000,49.660000,33.872166,58844100
2009-05-14,49.700001,52.500000,49.509998,52.060001,35.509151,40988500
2009-05-21,51.639999,51.950001,49.820000,50.009998,34.110893,28308500
2009-05-28,50.250000,55.730000,50.160000,54.270000,37.016544,50787900
2009-06-04,54.270000,55.490002,52.990002,53.360001,36.694088,44200500
2009-06-11,53.189999,53.980000,52.110001,52.970001,36.425880,36738400
2009-06-18,53.130001,55.049999,52.700001,53.049999,36.480915,33151100
2009-06-25,52.889999,56.689999,52.560001,56.520000,38.867123,41785700
2009-07-02,56.029999,57.459999,54.520000,54.849998,37.718708,41096700
2009-07-09,55.110001,57.310001,54.299999,57.279999,39.389755,34284700
2009-07-16,57.000000,57.700001,55.360001,55.889999,38.433891,33893300
2009-07-23,56.009998,56.840000,55.619999,56.330002,38.736454,33976200
2009-07-30,56.730000,59.639999,55.959999,58.389999,40.153065,57158800
2009-08-06,58.610001,58.810001,56.340000,56.680000,38.977142,36244100
2009-08-13,56.849998,57.060001,55.860001,56.450001,38.818985,34918100
2009-08-20,56.299999,58.189999,56.200001,57.880001,39.802357,33863600
2009-08-27,57.590000,58.099998,55.689999,56.349998,38.750221,34848100
2009-09-03,56.540001,58.340000,56.000000,58.040001,40.234257,39787800
2009-09-10,57.919998,58.919998,57.540001,58.340000,40.442211,33832800
2009-09-17,58.349998,60.000000,58.220001,58.470001,40.532341,42389900
2009-09-24,58.570000,59.490002,58.000000,58.660000,40.664047,32987200
2009-10-01,58.700001,61.380001,58.270000,61.169998,42.404030,49003200
2009-10-08,61.240002,61.680000,59.799999,61.619999,42.715961,45765900
2009-10-15,61.570000,62.750000,61.119999,61.840000,42.868465,38177300
2009-10-22,61.900002,61.900002,60.099998,60.990002,42.279247,30631100
2009-10-29,61.009998,61.639999,59.619999,60.380001,41.856384,31007300
2009-11-05,60.439999,62.939999,60.419998,62.599998,43.395325,29139700
2009-11-12,62.490002,62.750000,61.099998,62.299999,43.187366,28167500
2009-11-19,62.099998,63.270000,61.349998,63.189999,43.804310,23526700
2009-11-26,62.240002,63.930000,61.750000,63.650002,44.123196,23752200
2009-12-03,63.580002,64.480003,60.759998,61.799999,43.144726,47956800
2009-12-10,62.150002,62.630001,60.400002,60.680000,42.362808,39983900
2009-12-17,60.639999,60.869999,58.770000,60.680000,42.362808,44768300
2009-12-24,60.660000,61.590000,60.400002,61.310001,42.802647,13433500
2009-12-31,61.250000,62.470001,60.639999,61.360001,42.837543,28786200
2010-01-07,61.349998,62.340000,60.099998,62.049999,43.319256,42389800
2010-01-14,62.020000,62.919998,61.439999,61.950001,43.249458,26794600
2010-01-21,62.009998,62.160000,59.599998,60.290001,42.090534,30401900
2010-01-28,60.299999,61.400002,59.119999,61.290001,42.788685,35876000
2010-02-04,60.830002,60.930000,58.750000,60.380001,42.153374,40173200
2010-02-11,60.869999,62.200001,60.490002,62.110001,43.361141,36592200
2010-02-18,61.970001,62.919998,61.580002,62.080002,43.340195,30116400
2010-02-25,61.509998,64.269997,61.020000,63.980000,44.666653,49889900
2010-03-04,64.430000,64.650002,63.799999,64.430000,45.300346,35470900
2010-03-11,64.199997,66.580002,63.900002,66.570000,46.804958,39298100
2010-03-18,66.570000,67.000000,66.150002,66.260002,46.586990,38746300
2010-03-25,66.370003,67.000000,66.059998,66.160004,46.516689,32243300
2010-04-01,66.320000,66.680000,65.750000,65.989998,46.397160,26745600
2010-04-08,65.750000,66.669998,65.620003,66.290001,46.608082,26871100
2010-04-15,65.970001,66.650002,65.610001,65.980003,46.390137,33012700
2010-04-22,65.750000,65.790001,63.599998,64.750000,45.525333,45640100
