p,c,s
78.849998,42.549999,155.110001
82.339996,42.150002,157.880005
82.209999,42.209999,158.279999
83.25,42.459999,163.339996
84.25,42.919998,166.119995
82.970001,42.25,165.929993
81.120003,41.400002,165.220001
81.199997,40.650002,161.270004
82.110001,40.389999,161.75
80.889999,40.41,163.449997
81.300003,40.330002,160.139999
80.730003,40.490002,161.279999
82.989998,40.68,165.190002
85.239998,40.84,167.949997
85.639999,40.860001,168.520004
83.540001,40.080002,168.710007
84.760002,40.150002,169.179993
82.75,39.529999,168.740005
79.080002,38.279999,164.559998
79.370003,38.349998,163.910004
79.529999,38.540001,165.75
79.849998,38.779999,169.399994
82.879997,39.59,173.050003
80.209999,38.330002,169.039993
79.559998,37.43,169.179993
79.5,37.080002,165.600006
82.269997,38,172.070007
83.330002,39.09,174.570007
84.720001,39.619999,176.289993
86.68,40.049999,177.169998
85.949997,40.119999,178.380005
85.129997,40.060001,178.470001
84.419998,40.189999,181.119995
82.650002,40.369999,179.729996
82.669998,40.130001,178.720001
81.419998,40.02,181.699997
82.040001,40.189999,182.929993
82.940002,41.310001,184.690002
83.239998,39.939999,183.520004
82.889999,39.759998,184.660004
82.849998,39.900002,184.300003
80.220001,37.900002,177.350006
79.419998,37.610001,175.169998
81.489998,38.509998,182.070007
77.099998,37.099998,183.020004
78.650002,37.869999,184.850006
81.110001,38.349998,187.75
82.150002,38.470001,187.279999
81.370003,38.139999,186.660004
82.870003,38.610001,184.970001
82.730003,38.330002,188.880005
83.910004,38.990002,187.089996
84.769997,40.59,186.130005
85.410004,40.73,187.449997
85.889999,40.790001,188.309998
86.800003,40.91,187.880005
86.839996,40.889999,189.059998
86.099998,40.869999,189.130005
87.07,40.580002,191.380005
87.43,40.790001,193.190002
87.779999,40.860001,194.919998
88.900002,41.560001,196.259995
88.580002,41.959999,195.580002
89.669998,42.290001,197.229996
89.769997,41.950001,197.119995
90.5,42.119999,197.960007
90.82,40.810001,198.639999
88.910004,39.619999,196.979996
90.510002,39.919998,192.070007
91.739998,39.939999,194.839996
92.230003,41.25,198.919998
92.230003,41.599998,200.25
92.75,41.779999,200.5
91.790001,42.169998,200.070007
92.849998,41.610001,200.75
93.5,42.27,199.559998
92.650002,42.740002,194.350006
93.940002,44.549999,196.639999
91.769997,43.23,186.429993
94.459999,40.619999,192.690002
94.690002,40.959999,198.110001
96.889999,42.310001,202.339996
97.160004,42.709999,203.960007
98.410004,44.220001,205.220001
99.349998,44.290001,207.639999
98.32,43.799999,207.889999
96.18,41.599998,203.160004
93.720001,41.549999,201.789993
97.089996,42.939999,207.770004
94.559998,42.220001,205.539993
95.739998,42.990002,202.309998
96.669998,42.560001,200.860001
97.400002,43.360001,203.080002
95.720001,41.919998,200.139999
96.599998,41.68,204.059998
100.400002,42.369999,206.929993
99.330002,41.73,210.130005
99.5,42.049999,211.630005
97.360001,42.5,210.229996
93.629997,40.099998,204.5
94.639999,40.599998,210.460007
95.260002,40.450001,205.759995
95.089996,40.68,205.699997
96.029999,40.889999,207.979996
96.629997,40.400002,210.429993
97.279999,41.310001,210.630005
94.379997,40.490002,210.570007
95.480003,40.66,208.039993
96.410004,41.049999,210.020004
97.690002,41.349998,212.880005
96.379997,41.119999,212.699997
95.300003,40.869999,211.919998
93.690002,40.330002,210.949997
94.050003,40.27,210.589996
95.290001,40.189999,210.5
94.519997,39.5,207.5
95.610001,39.860001,204.529999
96.349998,41.130001,210.610001
97.169998,40.900002,211.369995
96.529999,40.59,210.770004
99.190002,42.119999,210.070007
98.379997,41.259998,208.919998
98.989998,40.779999,208.320007
92.489998,38.73,194.460007
91.639999,38.900002,195.410004
90.830002,38.299999,194.789993
93.07,39.150002,200.179993
92.400002,38.759998,193.600006
94.300003,40.119999,191.630005
98.519997,41.52,199.410004
97.489998,41.68,199.289993
100.25,42.189999,201.850006
102.739998,42.73,208.949997
100.620003,41.970001,210.360001
99.43,42.040001,207.740005
100.269997,42.279999,208.729996
100.5,43.360001,209.320007
99.480003,42.77,208.529999
99.129997,42.66,205.339996
101.080002,43.84,208.029999
100.639999,43.669998,206.020004
101.150002,43.57,205.929993
99.480003,42.32,198.820007
96.5,41.849998,188.830002
93.769997,41.380001,185.649994
95.940002,42.09,188.130005
98.720001,42.720001,191.300003
97.620003,42.549999,185.270004
99.550003,43.490002,192.880005
99.68,43.91,193.199997
98.330002,43.77,199
100.199997,44.810001,199.380005
100.830002,45.049999,203.339996
100.809998,45.459999,203.210007
102.690002,46.580002,206.020004
103.919998,46.709999,206.419998
104.120003,46.040001,208
102.440002,44.369999,210.100006
102.629997,44.68,209.350006
104.019997,44.98,205.009995
105.720001,45.459999,206.5
100.910004,44.48,204.910004
101.089996,44.380001,209.279999
101.57,44.700001,210.270004
103.18,45.549999,212.369995
102.860001,45.009998,207.75
103.739998,44.860001,208.100006
103.120003,44.439999,206.660004
105.919998,45.27,209.660004
109.910004,45.740002,214.919998
108.919998,45.509998,217.089996
107.480003,43.400002,216.520004
108.040001,43.639999,216.179993
108.82,43.610001,217.639999
108.470001,44.060001,218.369995
108.110001,43.849998,217.850006
106.75,43.43,217.380005
107.209999,43.639999,219.009995
105.050003,42.110001,213.149994
107.129997,42.529999,215.820007
107.379997,42.150002,216.639999
106.010002,41.810001,215.630005
106.080002,41.779999,213.710007
106.260002,42.049999,214.279999
107.07,42.439999,213.740005
106.709999,42.049999,209.740005
107.25,42.27,216.380005
101.709999,41.259998,217.869995
101.529999,41.119999,220.699997
100.099998,40.349998,220.380005
102.809998,41.290001,224.600006
104.470001,41.209999,225.880005
104.699997,41.57,225.770004
104.620003,41.389999,224.399994
104.849998,41.650002,226.580002
101.809998,41.049999,227.100006
102.739998,41.290001,226.75
104.610001,42.119999,229.570007
103.010002,41.259998,227.619995
105.690002,42.02,229.240005
106.730003,40.439999,234.919998
109.410004,41.599998,236.279999
109.730003,42.16,239.779999
109.300003,41.990002,236.559998
111.110001,42.119999,238.949997
112.019997,42.380001,234.279999
112.43,42.419998,235.539993
111.940002,42.57,234.779999
113.610001,42.939999,234.029999
113.620003,43.23,233.440002
113.330002,43.240002,238.399994
111.790001,43.32,238.479996
112.839996,43.57,239.869995
113.739998,43.93,235.820007
116.059998,45.029999,240.610001
116.870003,45.470001,241.440002
117.050003,45.509998,243.660004
117.370003,45.299999,244.240005
117.419998,45.220001,242.949997
116.379997,45.32,243.490005
115.300003,44.82,242.770004
114.769997,44.509998,244.009995
115.339996,44.830002,246.990005
117.190002,45.740002,247.429993
115.610001,45.59,247.440002
116.629997,45.59,247.25
119.099998,46.200001,246.940002
117.290001,45.540001,244.559998
115.150002,45.389999,246.009995
116.349998,45.959999,246.899994
114.449997,46.869999,250.169998
113.580002,45.779999,250.059998
111.099998,44.639999,250.050003
109.339996,45.5,253.160004
111.510002,46.099998,255.020004
111.949997,46.400002,255.720001
110.07,46.049999,255.289993
110.129997,45.799999,257.48999
112,46.18,259.109985
115.099998,46.810001,256.440002
115.080002,45.84,259.76001
116.839996,45.5,262.709991
118.900002,46.450001,263.23999
117.800003,45.900002,266.75
119.019997,46.080002,267.029999
119.300003,45.93,267.320007
117.75,45.439999,270.470001
117.480003,46.07,274.119995
119.18,46.82,279.609985
121.139999,47.830002,283.179993
120.300003,47.59,281.899994
113.5,44.560001,267.670013
109.110001,44.099998,269.589996
108,43.34,270.049988
109.730003,43.220001,271.649994
109.839996,43.82,272.779999
112.610001,43.779999,275.299988
108.739998,43,270.429993
109.18,43.32,259.829987
110.18,44.240002,263.559998
108.68,43.990002,263.76001
106.980003,44.509998,270.390015
101.150002,42.43,263.630005
97.230003,42.060001,263.200012
96.160004,41.779999,269.5
97.190002,41.549999,272.23999
100.449997,42.400002,273.359985
101.830002,43.130001,272.609985
100.830002,43.459999,277.399994
105.269997,44.18,278.029999
105.809998,43.259998,275.970001
108.269997,43.07,269.350006
108.800003,43.990002,270.899994
112.540001,44.790001,276.859985
114.830002,45.119999,281.059998
115.209999,46.09,284.01001
113.610001,46.389999,280.859985
113.489998,46.150002,285.459991
113.449997,46.080002,281.779999
112.239998,45.93,286.170013
112.050003,45.330002,291.480011
113.120003,45.380001,289.029999
113.849998,46.240002,289.119995
113.769997,45.959999,291.220001
111.5,45.849998,289.880005
107.519997,45.869999,291.720001
107.339996,45.68,278.299988
108.309998,45.860001,280.450012
112.959999,46.73,265.320007
112.379997,47.880001,270.630005
115.610001,49.369999,281.01001
116.650002,49.759998,270.200012
115.279999,48.73,265.019989
118.5,49.709999,274.579987
117.800003,49.580002,270.25
117,49.220001,265.459991
110.040001,47.900002,251.259995
108.330002,46.939999,246.179993
109.279999,46.93,250.179993
107.489998,46.57,257.970001
108.339996,46.919998,260.980011
110.730003,48.27,263.410004
110.82,47.860001,267.579987
113.050003,49.259998,272.73999
114.120003,49.790001,274.98999
115.830002,45.099998,278.410004
115.370003,44.939999,279.200012
116.660004,45.450001,277.329987
116.580002,46.220001,281.339996
118.32,45.529999,281.549988
121.889999,46.610001,279.649994
121.559998,46.18,286.420013
122.040001,46.639999,288.290009
127.010002,47.279999,289.450012
126.919998,47.98,292.230011
127.239998,48.59,291.809998
126.019997,47.849998,287.529999
129.350006,49.18,285.059998
130.070007,49.650002,285.630005
128.169998,48.610001,278.269989
131.389999,50.779999,282.959991
133.139999,51.639999,288.390015
132.850006,51.119999,293.059998
132.320007,51.119999,290.470001
133.990005,52.099998,298.799988
134.410004,51.82,298.609985
132.779999,52.18,297.73999
129.210007,53.779999,301.440002
127.809998,52.630001,297.429993
127.779999,53.18,287.970001
129.119995,52.990002,283.899994
132.339996,54.099998,292.450012
135.190002,55.110001,288.890015
139.149994,55.77,294.040009
136.360001,54.77,300.25
135.5,54.23,301.100006
135.089996,54.169998,297.619995
133.940002,53.080002,288.059998
137.850006,53.830002,291.269989
136.419998,53.490002,298.399994
137.449997,54.639999,299.880005
136.899994,53.939999,304.140015
134.440002,52.799999,307.100006
133.289993,52.41,309.100006
133.740005,53.220001,310.769989
135.910004,53.950001,315.480011
137.300003,54.290001,311.459991
137.100006,53.950001,314.420013
135.970001,53.91,319.589996
136.889999,54.709999,321.230011
136.669998,55.349998,321.859985
134.699997,54.349998,324.450012
139.199997,56.700001,328.190002
143.380005,57.610001,331.339996
141.729996,57.009998,326.619995
144.300003,58.849998,332.859985
146.080002,59.41,337.420013
145.529999,59.77,338.339996
141.979996,57.599998,311.5
142.389999,58.919998,312.859985
129.75,52.209999,274.359985
120.919998,44.849998,240
112.5,41.610001,246.789993
118.120003,42.119999,246.149994
132.610001,47.82,274.029999
135.029999,47.610001,277.76001
132.619995,45.68,279.100006
133.360001,47.119999,293.209991
130.779999,44.75,284.25
132.960007,43.939999,281.600006
131.259995,45.889999,296.929993
130.809998,46.73,303.529999
132.820007,47.900002,312.179993
134.130005,48.619999,319
131.759995,46.580002,311.660004
129.559998,44.650002,304.089996
132.360001,44.82,310.519989
134.220001,45.07,316.179993
133.690002,46.400002,321.850006
136.009995,48.48,326.859985
137.929993,48.02,325.119995
136.25,47.220001,332.109985
137.800003,48.43,337.440002
136.449997,47.369999,337.230011
138.470001,48.16,347.570007
143.289993,51.189999,357.700012
137.110001,50.189999,339.790009
134.979996,50.790001,338.820007
131,48.209999,322.640015
138.600006,49.369999,334.890015
137.009995,49.560001,340.76001
142.520004,50.119999,347.929993
139.600006,49.990002,342.730011
134.169998,47.959999,326.660004
137.860001,49.169998,343.540009
143.899994,53.580002,356.670013
143.380005,52.610001,356.279999
144.160004,52.93,362.660004
144.619995,52.110001,366.790009
145.690002,53.330002,366.850006
144.889999,53.060001,370.170013
144.410004,53.080002,367.570007
147.309998,54.439999,371.98999
142.929993,50.52,373.549988
142.589996,50.16,379.790009
141.330002,48.68,383.890015
138.039993,48.529999,374.410004
138.020004,48.77,381.850006
137.699997,49.599998,390.079987
134.460007,50.130001,392.390015
132.089996,50.709999,391.769989
129.139999,49.98,381.420013
133.580002,51.439999,389.579987
133.619995,51.240002,397.26001
138.809998,51.52,387.519989
141.449997,52.709999,396.329987
143.410004,53.279999,406.589996
142.110001,53.080002,411.450012
146.979996,54.610001,416.070007
141.830002,53.59,417.399994
143.889999,54,415.75
144.229996,54.040001,405.410004
145.429993,54.169998,410.859985
148.300003,55.029999,419.070007
148.220001,55.5,420.329987
146.100006,55.48,421.649994
147.100006,54.669998,422.109985
144.850006,54.119999,422.600006
148.169998,54.110001,428.059998
149.789993,54.32,434.459991
154.539993,56.259998,436.23999
155.240005,56.549999,434.549988
156.490005,56.740002,438.829987
154.050003,56.099998,438.980011
155.039993,56.73,443.779999
156.279999,56.5,439.179993
155.199997,56.07,448.910004
157.910004,56.689999,451.799988
156.720001,56.419998,450.910004
156.020004,55.880001,447.880005
154.009995,54.130001,437.859985
152.300003,52.959999,434.450012
154.960007,53.709999,434.899994
157.990005,54.240002,435.179993
161.309998,54.630001,452.410004
160.610001,55.52,453.940002
164.300003,56.290001,464.720001
164.039993,56.720001,463.619995
163.369995,55.91,468.140015
163.740005,55.43,469.440002
160.160004,52.299999,450.5
166.520004,55,469.519989
171.570007,58.060001,470.600006
169.970001,58.18,467.690002
172.970001,58.950001,477.480011
173.820007,60.790001,468.380005
173.899994,60.540001,471.019989
175.210007,61,451.75
169.529999,59.599998,433.380005
175.470001,61.18,457.350006
171.940002,61.040001,457.540009
166.300003,60.900002,446.600006
166.690002,61.59,421.950012
164.520004,62.43,437.890015
157.399994,58.959999,427.410004
159.699997,59.459999,435.619995
163.479996,60.400002,443.799988
167.960007,62.209999,458.700012
172.389999,63.099998,446.519989
173,64.730003,443.309998
175.470001,65.959999,444.709991
174.850006,65.559998,417.269989
173.860001,65.029999,429.059998
170.660004,64.309998,392.75
163.649994,61.200001,391.859985
165.600006,62.860001,396.920013
