,,,,Close,Adj Close,Volume
,,,,90.669998,70.071274,1077076100
,,,,84.370003,65.202538,1664570400
,,,,84.050003,64.955223,1716100400
,,,,87.389999,67.536423,1736516400
,,,,83.330002,64.398788,1567384500
,,,,83.599998,64.607437,1884511600
,,,,79.029999,61.075687,1605175500
,,,,76.870003,59.406403,2061932200
,,,,71.730003,55.434132,2166831500
,,,,72.639999,56.137371,2118800900
,,,,79.93,61.771214,1937909800
,,,,81.449997,62.945896,1991578000
,,,,81.059998,63.09288,1809722600
,,,,82.529999,64.237053,1515094200
,,,,85.25,66.354156,1021825900
,,,,84.540001,65.801529,1346028100
,,,,87.389999,68.019844,1461620300
,,,,92.139999,71.716957,1359627400
,,,,88.68,69.023888,1416783700
,,,,90.510002,70.448265,1264873200
,,,,89.669998,69.794449,908134600
,,,,93.650002,72.892273,1290168300
,,,,94.400002,73.476044,1254151200
,,,,91.550003,71.257744,1134730700
,,,,90.120003,70.144722,1079181800
,,,,92.330002,72.270813,1017400600
,,,,88,68.881538,831948900
,,,,93.260002,72.998756,957076700
,,,,95.550003,74.791245,947702000
,,,,97.650002,76.43502,953142500
,,,,100.410004,78.59539,970151300
,,,,100.800003,78.90065,921096800
,,,,99.959999,78.243141,980007400
,,,,103.169998,80.755737,999946600
,,,,99.82,78.133568,1012387900
,,,,103.730003,81.194107,573781800
,,,,107.32,84.004158,868058500
,,,,106.18,83.111824,903936100
,,,,105.589996,83.043678,939098500
,,,,105.800003,83.208847,1018155800
,,,,109.309998,85.969368,785459400
,,,,108.230003,85.119965,931773800
,,,,104.410004,82.115646,1222593100
,,,,104.919998,82.516724,1254300900
,,,,110.150002,86.630005,851831100
,,,,111.269997,87.510857,822650600
,,,,111.379997,87.597351,738925700
,,,,111.25,87.495102,578805400
,,,,110.019997,86.52774,895133600
,,,,111.519997,87.707458,645777100
,,,,111.949997,88.045677,679511500
,,,,112.519997,88.97036,280896900
,,,,113.709999,89.911301,437236800
,,,,114.620003,90.630859,689025100
,,,,113.889999,90.053619,683664800
,,,,109.830002,86.843346,1360771900
,,,,109.830002,86.843346,1203705200
,,,,107.010002,84.613571,1652800400
,,,,110.260002,87.18338,856376300
,,,,110.82,87.626152,932588100
,,,,112.300003,88.796387,892711100
,,,,114.970001,90.907593,767165900
,,,,117.099998,92.591805,815823800
,,,,116.839996,92.386208,986642200
,,,,117,92.8937,870569500
,,,,118.360001,93.97348,562023300
,,,,121.190002,96.220398,688642100
,,,,120.660004,95.799622,1079967900
,,,,119.379997,94.78334,1092680500
,,,,116.82,92.750771,1335850400
,,,,117.449997,93.250999,2234531900
,,,,111.760002,88.73333,1661093200
,,,,107.169998,85.089043,2047375200
,,,,110.330002,87.597969,1116957100
,,,,106.050003,84.199806,1515500600
,,,,111.959999,88.892151,1193857600
,,,,109.230003,86.724602,1144328400
,,,,103.220001,82.342781,1334219900
,,,,106.110001,84.648254,1127014700
,,,,109.650002,87.47226,884578300
