d,c_n,c_bn,days
4/22/2008,5049.299805,7520.899902,138
4/23/2008,5022.799805,7378.049805,139
4/24/2008,4999.850098,7391.899902,140
4/25/2008,5111.700195,7616.299805,141
4/28/2008,5089.649902,7590.049805,142
4/29/2008,5195.5,7737.450195,143
4/30/2008,5165.899902,7629,144
5/2/2008,5228.200195,7871.899902,145
5/5/2008,5192.25,7851.5,146
5/6/2008,5144.649902,7814.549805,147
5/7/2008,5135.5,7743.600098,148
5/8/2008,5081.700195,7518.799805,149
5/9/2008,4982.600098,7299,150
5/12/2008,5012.649902,7330.549805,151
5/13/2008,4957.799805,7340.950195,152
5/14/2008,5011.75,7324.850098,153
5/15/2008,5115.25,7508.149902,154
5/16/2008,5157.700195,7644.600098,155
5/20/2008,5104.950195,7459.200195,156
5/21/2008,5117.649902,7374.25,157
5/22/2008,5025.450195,7147.299805,158
5/23/2008,4946.549805,7009.049805,159
5/26/2008,4875.049805,6767.450195,160
5/27/2008,4859.799805,6593.950195,161
5/28/2008,4918.350098,6780.899902,162
5/29/2008,4835.299805,6576.75,163
5/30/2008,4870.100098,6584.350098,164
6/2/2008,4739.600098,6347.149902,165
6/3/2008,4715.899902,6301.200195,166
6/4/2008,4585.600098,6113.649902,167
6/5/2008,4676.950195,6211.799805,168
6/6/2008,4627.799805,6140.049805,169
6/9/2008,4500.950195,5949.200195,170
6/10/2008,4449.799805,5814.350098,171
6/11/2008,4523.600098,5971.25,172
6/12/2008,4539.350098,5999.350098,173
6/13/2008,4517.100098,5993.149902,174
6/16/2008,4572.5,6127.75,175
6/17/2008,4653,6425.649902,176
6/18/2008,4582.399902,6200.549805,177
6/19/2008,4504.25,5957.25,178
6/20/2008,4347.549805,5758.600098,179
6/23/2008,4266.399902,5593.75,180
6/24/2008,4191.100098,5489.850098,181
6/25/2008,4252.649902,5480.700195,182
6/26/2008,4315.850098,5512.149902,183
6/27/2008,4136.649902,5210.899902,184
6/30/2008,4040.550049,5027.049805,185
7/1/2008,3896.75,4732.850098,186
7/2/2008,4093.350098,5025.75,187
7/3/2008,3925.75,4851.350098,188
7/4/2008,4016,4990.899902,189
7/7/2008,4030,5075.600098,190
7/8/2008,3988.550049,5106.799805,191
7/9/2008,4157.100098,5341.450195,192
7/10/2008,4162.200195,5339,193
7/11/2008,4049,5240.700195,194
7/14/2008,4039.699951,5207.75,195
7/15/2008,3861.100098,4838.950195,196
7/16/2008,3816.699951,4726.450195,197
7/17/2008,3947.199951,5034.75,198
7/18/2008,4092.25,5389.149902,199
7/21/2008,4159.5,5601.5,200
7/22/2008,4240.100098,5793.700195,201
7/23/2008,4476.799805,6343.149902,202
7/24/2008,4433.549805,6213.600098,203
7/25/2008,4311.850098,5917.25,204
7/28/2008,4332.100098,5919.149902,205
7/29/2008,4189.850098,5422.149902,206
7/30/2008,4313.549805,5719.450195,207
7/31/2008,4332.950195,5730.049805,208
8/1/2008,4413.549805,5961.899902,209
8/4/2008,4395.350098,5992.399902,210
8/5/2008,4502.850098,6371.700195,211
8/6/2008,4517.549805,6328.200195,212
8/7/2008,4523.850098,6363.149902,213
8/8/2008,4529.5,6447.5,214
8/11/2008,4620.399902,6723.200195,215
8/12/2008,4552.25,6490.799805,216
8/13/2008,4529.049805,6370.75,217
8/14/2008,4430.700195,6030.049805,218
8/18/2008,4393.049805,6015.049805,219
8/19/2008,4368.25,5992.399902,220
8/20/2008,4415.75,6026.299805,221
8/21/2008,4283.850098,5711.549805,222
8/22/2008,4327.450195,5776.049805,223
8/25/2008,4335.350098,5860.799805,224
8/26/2008,4337.5,5943.200195,225
8/27/2008,4292.100098,5823.549805,226
8/28/2008,4214,5721.149902,227
8/29/2008,4360,6102.049805,228
9/1/2008,4348.649902,6128.850098,229
9/2/2008,4504,6508.899902,230
9/4/2008,4447.75,6494.649902,231
9/5/2008,4352.299805,6288.600098,232
9/8/2008,4482.299805,6538.850098,233
9/9/2008,4468.700195,6441.350098,234
9/10/2008,4400.25,6427.549805,235
9/11/2008,4290.299805,6332.25,236
9/12/2008,4228.450195,6194.149902,237
9/15/2008,4072.899902,5997.649902,238
9/16/2008,4074.899902,6132.950195,239
9/17/2008,4008.25,5912.5,240
9/18/2008,4038.149902,6077.200195,241
9/19/2008,4245.25,6312.049805,242
9/22/2008,4223.049805,6303.899902,243
9/23/2008,4126.899902,6033.350098,244
9/24/2008,4161.25,6109.649902,245
9/25/2008,4110.549805,6080.200195,246
9/26/2008,3985.25,5828.600098,247
9/29/2008,3850.050049,5538.75,248
9/30/2008,3921.199951,5803.549805,249
10/1/2008,3950.75,5982.399902,250
10/3/2008,3818.300049,5793.350098,251
10/6/2008,3602.350098,5560.549805,252
10/7/2008,3606.600098,5457.549805,253
10/8/2008,3513.649902,5222.600098,254
10/10/2008,3279.949951,4938,255
10/13/2008,3490.699951,5496.75,256
10/14/2008,3518.649902,5578.399902,257
10/15/2008,3338.399902,5425.25,258
10/16/2008,3269.300049,5481.649902,259
10/17/2008,3074.350098,5183.549805,260
10/20/2008,3122.800049,5284.200195,261
10/21/2008,3234.899902,5414.5,262
10/22/2008,3065.149902,5095.75,263
