d,o,h,l,c
79.00,2690.850098,2740.350098,2633.800049,2708.25
80.00,2708.300049,2790.699951,2638.199951,2654
81.00,2652.449951,2762.600098,2643.350098,2752.25
82.00,null,null,null,null
83.00,2745.699951,2779,2690.300049,2755.100098
84.00,2755.149902,2832.850098,2669.5,2682.899902
85.00,2672.899902,2672.899902,2570.699951,2657.800049
86.00,2657.5,2693.649902,2611.949951,2656.449951
87.00,2656.5,2793.800049,2646.350098,2788
88.00,2786.649902,2821.149902,2701.350098,2714.399902
89.00,2714.699951,2861.550049,2714.699951,2784
90.00,2785.699951,2940.149902,2785.699951,2928.25
91.00,2934.050049,2945.300049,2861.550049,2920.149902
92.00,2915.350098,2936.800049,2812.550049,2921.350098
93.00,2917.899902,3012.100098,2917.899902,2981.199951
94.00,2983.600098,3052.550049,2963.300049,3041.75
95.00,3040.449951,3076.199951,2943.5,2954.350098
96.00,2955.350098,3072.550049,2922.649902,3060.75
97.00,3063,3106.800049,3036.300049,3077.5
98.00,3077.25,3110.449951,3027.800049,3039.300049
99.00,3039.25,3040,2957.050049,2968.649902
100.00,2967.399902,2968,2900.449951,2916.850098
101.00,2919.850098,2960.949951,2844.800049,2857.25
102.00,2857.149902,2931.800049,2812.899902,2922.199951
103.00,2922.550049,2999.149902,2899.75,2979.5
104.00,2979.800049,3002.649902,2937.350098,2959.149902
105.00,3034.600098,3079.850098,3021.800049,3046.75
106.00,3058.75,3131.949951,3056.449951,3121.449951
107.00,3121.5,3141.800049,3056.100098,3112.800049
108.00,3112.800049,3147.199951,2888.199951,2920.399902
109.00,2919.949951,2929.850098,2810.25,2873
110.00,2868.850098,2869.199951,2748.550049,2773.100098
111.00,2775,2802.600098,2720.800049,2744.949951
112.00,2748.399902,2853.25,2748.399902,2835.300049
113.00,2832.300049,2832.300049,2701.75,2736.699951
114.00,2737,2835.649902,2724.199951,2828.449951
115.00,2828.699951,2868.199951,2819.899902,2846.199951
116.00,2842.899902,2842.899902,2758,2796.600098
117.00,2777.399902,2787.300049,2690.199951,2706.149902
118.00,2714.699951,2744.850098,2681.399902,2713.800049
119.00,2705.449951,2765.550049,2661.649902,2678.550049
120.00,2686.050049,2777.300049,2685.25,2771.350098
121.00,2771.100098,2855.399902,2765.600098,2849.5
122.00,2849.350098,2873.850098,2795.350098,2823.949951
123.00,2824.050049,2881,2774.100098,2874.800049
124.00,2872.350098,2873.449951,2760.699951,2766.649902
125.00,2773.5,2831.699951,2752.899902,2783.899902
126.00,2780.699951,2842.199951,2780.699951,2803.050049
127.00,2802.75,2816.800049,2754.850098,2780.050049
128.00,2779.350098,2852.5,2778.649902,2843.100098
129.00,2843.050049,2926.75,2840.149902,2919.899902
130.00,2919.699951,2957.399902,2891.75,2934.5
131.00,2933,2937.5,2877.600098,2925.699951
132.00,2927.399902,2939,2886.550049,2893.050049
133.00,2896.949951,2969.75,2896.850098,2948.350098
134.00,2948.25,2953.199951,2839.100098,2848.5
135.00,2853.850098,2854.649902,2757.300049,2770.5
136.00,2755.149902,2806.5,2736.649902,2776.149902
137.00,2776.699951,2802.149902,2767.600098,2789.350098
138.00,2789.300049,2789.300049,2709.300049,2736.449951
139.00,2737.25,2746.199951,2677.550049,2733.899902
140.00,2733.449951,2789.350098,2733.449951,2762.5
141.00,2762.199951,2797.800049,2731.899902,2785.649902
142.00,2785.699951,2787.199951,2708.449951,2763.649902
143.00,2764.600098,2764.600098,2659.550049,2674.600098
144.00,2672.149902,2688.5,2611.550049,2622.399902
145.00,2611.949951,2655.699951,2611.949951,2645.199951
146.00,2645.899902,2663.899902,2564.100098,2576.699951
147.00,2576.75,2628.100098,2539.449951,2620.149902
148.00,2620.100098,2621.25,2555.600098,2573.149902
149.00,2574.5,2646.100098,2574.5,2617.449951
150.00,2616.600098,2726.149902,2616.600098,2719.25
151.00,2716.050049,2781.949951,2701.949951,2777.25
152.00,2776.350098,2805.600098,2738.699951,2757.449951
153.00,2757.649902,2836.050049,2752.25,2794.699951
154.00,2797.050049,2822.25,2771.350098,2807.149902
155.00,2807.350098,2816.100098,2773.649902,2807.050049
156.00,2807.25,2949.75,2807.25,2939.899902
157.00,2923.800049,3017.399902,2914.5,2938.699951
158.00,2938.800049,2996.5,2923.300049,2984.350098
159.00,2982.25,3103.350098,2982.25,3082.25
160.00,3079.399902,3123.350098,3055.899902,3108.649902
161.00,3108.75,3110.199951,2962.399902,2978.149902
162.00,2981.699951,3054.300049,2966.399902,3020.949951
163.00,3023.850098,3069.300049,2965.699951,3060.350098
164.00,3061.050049,3228.75,3061.050049,3211.050049
165.00,3211.350098,3303.899902,3211.350098,3256.600098
166.00,3255.350098,3357.050049,3149.25,3342.949951
167.00,3346,3401.149902,3307.050049,3342.050049
168.00,3342.199951,3417.800049,3334.149902,3382.600098
169.00,3381.449951,3497.550049,3311.800049,3484.149902
170.00,3484.350098,3511.25,3354.199951,3369.5
171.00,3369.5,3489.850098,3359.25,3384.399902
172.00,3384.75,3441.100098,3339.449951,3377.100098
173.00,3376.850098,3414.699951,3309.350098,3365.300049
174.00,3364.600098,3401.100098,3296.899902,3330.300049
175.00,3330.5,3439.899902,3310.5,3423.699951
176.00,3423.600098,3491.350098,3402.899902,3480.75
177.00,3481.300049,3517.25,3435.300049,3470
178.00,3469.5,3471.949951,3351.5,3362.350098
179.00,3371.649902,3486.399902,3366.699951,3473.949951
180.00,null,null,null,null
181.00,3478.699951,3664.5,3478.699951,3654
182.00,3664.5,3682.199951,3618.75,3661.899902
183.00,3662,3717.050049,3608.649902,3625.050049
184.00,3617.149902,3692.050049,3617.149902,3683.899902
185.00,3681.800049,3711.25,3582.850098,3620.699951
186.00,3615.75,3660.199951,3534.550049,3554.600098
187.00,3554.649902,3691.649902,3534.199951,3681.100098
188.00,3668.75,3709.600098,3610.199951,3635.25
189.00,3631.899902,3631.899902,3537.600098,3593.449951
190.00,3597.850098,3686.25,3597.850098,3671.649902
191.00,3673.149902,4384.299805,3673.149902,4323.149902
192.00,4324.950195,4509.399902,4167.649902,4318.450195
193.00,4318.75,4362.850098,4244.700195,4270.299805
194.00,4270.350098,4319,4199.200195,4210.899902
195.00,4211.850098,4249.5,4155.850098,4238.5
196.00,4238.100098,4270.049805,4205.100098,4237.549805
197.00,4239.549805,4256.049805,4092.25,4116.700195
198.00,4117.299805,4286.450195,4115.25,4276.049805
199.00,4276.149902,4354.850098,4254.850098,4337.100098
200.00,4340.75,4488.049805,4340.75,4448.950195
201.00,4450.399902,4545.399902,4450.399902,4529.899902
202.00,4530.450195,4586.399902,4451.299805,4525.25
203.00,4525.5,4574.899902,4478.600098,4530.700195
204.00,4530.299805,4582.200195,4453.450195,4572.649902
205.00,4573.299805,4636.850098,4561.950195,4586.899902
206.00,4582.350098,4611.399902,4404.649902,4429.899902
207.00,4427.75,4562.450195,4365.100098,4550.950195
208.00,4551.700195,4688.950195,4551.700195,4655.25
209.00,4657.399902,4679.549805,4586.149902,4637.700195
210.00,4637.549805,4693.200195,4566.149902,4583.399902
211.00,4584.649902,4601.049805,4469.600098,4484
212.00,4478.100098,4537.950195,4405.950195,4517.799805
213.00,4515.350098,4517.799805,4332.799805,4356.149902
214.00,4352.950195,4375.299805,4222.149902,4251.399902
215.00,4251.100098,4326.200195,4206.700195,4313.600098
216.00,4314.200195,4352.25,4221.899902,4235.25
217.00,4223.299805,4267.450195,4143.25,4247
218.00,4247.299805,4307,4218.25,4292.950195
219.00,4293.850098,4337.950195,4221.149902,4241.850098
220.00,4243.950195,4383.75,4243.950195,4375.5
221.00,4375.399902,4439.950195,4350.899902,4390.950195
222.00,4391.5,4426.75,4267.350098,4291.100098
223.00,4292.299805,4362.299805,4249.700195,4340.899902
224.00,4373.5,4383.649902,4288.75,4348.850098
225.00,4347.299805,4434.450195,4298.950195,4424.25
226.00,4429.600098,4479.799805,4133.700195,4165.700195
227.00,4166,4231.799805,4155.5,4202.149902
228.00,4201.850098,4201.850098,4061.100098,4078.899902
229.00,4078.75,4114.899902,4039.850098,4080.949951
230.00,4081.399902,4129.950195,3976.800049,4003.899902
231.00,4003.399902,4003.399902,3918.75,3974.050049
232.00,3974.100098,4128.899902,3974.100098,4111.399902
233.00,4120.799805,4249.549805,4118.75,4233.5
234.00,4223.5,4305,4205.5,4231.399902
235.00,4231.450195,4390.399902,4230.149902,4374.950195
236.00,4377.899902,4510.299805,4377.899902,4502.25
237.00,4501.5,4524,4436.600098,4469.100098
238.00,4469.299805,4557.950195,4380.450195,4398.899902
239.00,4409.700195,4532.399902,4405.950195,4523.75
240.00,4524.799805,4578.75,4504.850098,4568.549805
241.00,4568.649902,4596.75,4528.5,4572.299805
242.00,4572.799805,4599.899902,4529.149902,4564.100098
243.00,4565.799805,4573.850098,4420.799805,4513.5
244.00,4513.100098,4582.350098,4474.5,4571.450195
245.00,4571.600098,4669.75,4571.600098,4636.450195
246.00,4633.799805,4723.75,4617.75,4711.399902
247.00,4706.25,4731.450195,4642.600098,4680.5
248.00,4680.950195,4717.200195,4629.850098,4694.149902
249.00,4694.350098,4718.149902,4559.200195,4585.5
250.00,4591.899902,4591.899902,4463.950195,4481.399902
251.00,4486.5,4562.5,4399.850098,4437.649902
252.00,4435,4510.799805,4398.899902,4471.350098
253.00,4473.799805,4473.799805,4359.399902,4457.5
254.00,4458.549805,4614.149902,4458.549805,4605
255.00,4605.149902,4619,4559.350098,4580.049805
256.00,4578.799805,4578.799805,4374.600098,4387.899902
257.00,4389.5,4491.450195,4372.649902,4458.899902
258.00,4457.75,4477.549805,4353.450195,4394.100098
259.00,4394.350098,4492.799805,4394.350098,4453.450195
260.00,4453.450195,4538.700195,4400.899902,4528.799805
261.00,4536.950195,4656.299805,4536.950195,4642.799805
262.00,4641.649902,4672.899902,4582.5,4659.350098
263.00,4659.450195,4697.799805,4659.100098,4680.850098
264.00,4679,4707.899902,4645.149902,4688.200195
265.00,4688.399902,4743.75,4651.399902,4732.350098
266.00,4730.850098,4730.850098,4635,4662.100098
267.00,4662.200195,4735.899902,4600.649902,4625.350098
268.00,4624,4650.450195,4576.600098,4608.350098
269.00,4608.75,4647.350098,4581.049805,4593.549805
270.00,4608.700195,4697.200195,4580.350098,4680.399902
271.00,4682.399902,4790,4679.299805,4782.899902
272.00,4782.850098,4842.200195,4782.649902,4805.25
273.00,4804.899902,4825.049805,4783.5,4814.25
274.00,4814.350098,4889.049805,4807.899902,4819.399902
275.00,4819.399902,4856.149902,4791.549805,4829.549805
276.00,4830.350098,4832.25,4786.25,4808.600098
277.00,4808.350098,4899.450195,4808.350098,4892.100098
278.00,4894.649902,4966.299805,4894.649902,4958.399902
279.00,4958.549805,5003.049805,4944.149902,4965.549805
280.00,4963.950195,4980.850098,4931.899902,4976.049805
281.00,4977.100098,5036.299805,4977.100098,5020.200195
282.00,5019.950195,5030.75,4957.049805,4969.950195
283.00,4977.149902,5016.700195,4904.049805,4986.549805
284.00,4985.100098,4994.350098,4931.25,4958.950195
285.00,4959.149902,5020.25,4959.100098,5006.850098
