Date,Open,High,Low,Close
01-10-07,8008.549805,8085.149902,7913.299805,7987.5
03-10-07,8029.799805,8235.799805,7820.25,8097.899902
04-10-07,8083.299805,8086.700195,7828.649902,8035.899902
05-10-07,8038.100098,8066.549805,7789.700195,7845.25
08-10-07,7853.149902,7935.450195,7516.450195,7626.399902
09-10-07,7580.899902,7916.450195,7535.049805,7895.850098
10-10-07,7960.649902,8081.049805,7907.350098,8030.649902
11-10-07,8054.299805,8177.75,8005.5,8158.799805
12-10-07,8093.649902,8132.100098,7889.799805,7934
15-10-07,7962.549805,8306.349609,7962.549805,8286.299805
16-10-07,8361.400391,8491.650391,8240.299805,8452.200195
17-10-07,8071.549805,8218.099609,7641.5,8099.899902
18-10-07,8055.149902,8192.450195,7519.700195,7608.75
19-10-07,7637.399902,7718.899902,7279.299805,7423.799805
22-10-07,7374.350098,7621.649902,7289.200195,7568
23-10-07,7621.049805,8118.75,7621.049805,8101.100098
24-10-07,8167.950195,8276.650391,8058.549805,8228.650391
25-10-07,8228.200195,8528.25,8185.549805,8428.650391
26-10-07,8426.400391,8804.900391,8257.049805,8749.900391
29-10-07,8918.049805,9122.349609,8865.650391,9000.75
30-10-07,9024.549805,9237.799805,8832.5,8934.150391
31-10-07,8906.299805,9116.799805,8839.400391,9013.150391
01-11-07,9220.400391,9358,9032.700195,9198.599609
02-11-07,8953.400391,9610.700195,8898.200195,9560.700195
05-11-07,9549.799805,9692.5,9346.25,9397.549805
06-11-07,9383.549805,9550.650391,9129.849609,9216.299805
07-11-07,9215.400391,9388.049805,9049.650391,9090.200195
08-11-07,9090.799805,9090.799805,8816.950195,8876.25
12-11-07,8596.150391,8819.900391,8429.349609,8758.200195
13-11-07,8761.349609,9149,8642.849609,9060
14-11-07,9230.650391,9651.849609,9230.650391,9613.049805
15-11-07,9560.200195,9601.450195,9422.349609,9454.700195
16-11-07,9476.849609,9538.650391,9272.349609,9474.150391
19-11-07,9541.099609,9595.450195,9367.849609,9396.25
20-11-07,9356.400391,9574.849609,9210.099609,9277.849609
21-11-07,9272.200195,9291.650391,8766.349609,8829.799805
22-11-07,8835.25,9084.200195,8650,8998.799805
23-11-07,9051.75,9127.599609,8821.150391,8977.900391
26-11-07,9136.049805,9255.049805,9093.400391,9122.450195
27-11-07,9087.599609,9098.950195,8977.950195,9070.75
28-11-07,9043.599609,9216.150391,8938.099609,8970.849609
29-11-07,9124.799805,9273.25,9063.25,9124.400391
30-11-07,9230.799805,9437.950195,9185,9375.75
03-12-07,9391.200195,9466.200195,9384.349609,9397.549805
04-12-07,9404.150391,9452.700195,9341.049805,9367.099609
05-12-07,9373.450195,9605.25,9373.450195,9581.299805
06-12-07,9644.799805,9759.700195,9559.75,9620.150391
07-12-07,9677.849609,9804.549805,9605.450195,9796.099609
10-12-07,9800.200195,9889.299805,9723.599609,9864.599609
11-12-07,9961.650391,10124.75,9899.950195,10090.7002
12-12-07,9951.25,10086.59961,9891.25,10056.7002
13-12-07,10088.40039,10123.2002,9891.900391,9920.450195
14-12-07,9886.849609,9948.950195,9776.799805,9803.150391
17-12-07,9790.549805,9792.150391,9362.400391,9426.700195
18-12-07,9507.900391,9507.900391,9225.450195,9279.200195
19-12-07,9363.950195,9446,9125.450195,9240.349609
20-12-07,9275.650391,9332.849609,9205.349609,9245.450195
24-12-07,9316.450195,9581.099609,9316.450195,9563.549805
26-12-07,9545.700195,9772,9545.700195,9755.200195
27-12-07,9810,9842.650391,9746.799805,9785.049805
28-12-07,9742.049805,9840.349609,9625.299805,9828.349609
31-12-07,9861.700195,9914.549805,9790.400391,9863.450195
01-01-08,9819.5,9927.400391,9813.950195,9905.25
02-01-08,10103.34961,10333.29981,9862.150391,10250.84961
03-01-08,10164,10265.59961,10070.79981,10100.7002
04-01-08,10288.04981,10326.25,10120.90039,10233.2002
